Step,Spectral Kaiming,Align Adam RMS,Spectral MuP
1,11.923383712768555,11.923383712768555,11.923383712768555
4,11.913070678710938,11.842086791992188,11.913566589355469
5,11.888670921325684,11.67675781,11.89065933227539
6,11.824370384216309,11.40621566772461,11.82983398
10,11.50086498260498,9.972258567810059,11.559154510498047
12,11.209356307983398,9.285821914672852,11.32544994354248
15,10.538965225219727,8.462018013000488,10.780668258666992
17,9.930247307,8.022814750671387,10.269084930419922
18,9.604474067687988,7.830334663391113,9.978651047
19,9.277010917663574,7.672485352,9.679427146911621
20,8.943814277648926,7.522346019744873,9.355184555053711
22,8.387910842895508,7.302472114562988,8.764663696289062
26,7.836676120758057,7.221080780029297,7.967553139
27,7.7522735595703125,7.110967159,7.844216823577881
34,7.4493632316589355,6.808868408203125,7.640196800231934
35,7.381288051605225,6.759731769561768,7.552396774291992
36,7.298745632171631,6.7131242752075195,7.461050033569336
37,7.259598255157471,6.6674580574035645,7.425809860229492
40,7.107265949249268,6.602117062,7.261134147644043
43,6.9352922439575195,6.476529121398926,7.054844856262207
45,6.818727016448975,6.3226494789123535,6.930448055267334
46,6.773660659790039,6.366227626800537,6.884453773498535
47,6.732431888580322,6.268001079559326,6.836615562438965
49,6.622339248657227,6.209867954,6.714366912841797
51,6.543786049,6.190453529,6.627080441
52,6.531155109405518,6.186903476715088,6.612229347229004
53,6.491497039794922,6.129739761352539,6.561312675476074
57,6.342416763305664,6.063879967,6.391980171203613
58,6.32918644,6.021566390991211,6.3824872970581055
59,6.315083980560303,6.017919540405273,6.356753349304199
60,6.282452583312988,6.029489994049072,6.331153869628906
63,6.204631328582764,5.916745185852051,6.228648662567139
64,6.177814007,5.927711009979248,6.221752166748047
67,6.148370265960693,5.843414306640625,6.163018226623535
69,6.097808361053467,5.828904151916504,6.115980148
71,6.086019039154053,5.785400867462158,6.102230072021484
72,6.052273750305176,5.753880023956299,6.086695671081543
73,6.043310165405273,5.7574663162231445,6.050469398498535
74,6.026733398,5.761868476867676,6.060349464416504
75,6.023986339569092,5.738446235656738,6.039970874786377
77,6.001591205596924,5.699856281280518,6.024420261383057
78,5.950318336486816,5.7210516929626465,5.991147994995117
80,5.921380519866943,5.640236854553223,5.966123104095459
83,5.916658401489258,5.643609046936035,5.948697090148926
84,5.884809970855713,5.5894880294799805,5.928389549255371
88,5.864080429077148,5.596565246582031,5.912212371826172
89,5.868353843688965,5.528397083282471,5.9068145751953125
92,5.801733971,5.470566749572754,5.877281188964844
94,5.800731658935547,5.477507591247559,5.873272895812988
95,5.790946006774902,5.407492637634277,5.841448783874512
97,5.790831089019775,5.414881229400635,5.840518474578857
100,5.7679290771484375,5.380558013916016,5.827654838562012
101,5.729989528656006,5.380724906921387,5.809209823608398
103,5.7118425369262695,5.3578948974609375,5.792875289916992
106,5.697948932647705,5.341886043548584,5.783622741699219
108,5.644928455352783,5.255793571472168,5.752676486968994
109,5.634541034698486,5.250082015991211,5.734339714050293
118,5.556915760040283,5.127526283,5.678833008
119,5.566808700561523,5.178753376,5.698998451
122,5.555109024047852,5.164320945739746,5.679007530212402
124,5.505147457122803,5.052898884,5.650252819061279
126,5.468456745147705,5.050505161,5.627305030822754
128,5.497410774230957,5.052560329437256,5.628983974456787
136,5.367677688598633,4.939126014709473,5.576058864593506
137,5.3623433113098145,4.908823013305664,5.5835771560668945
139,5.333828926086426,4.861320972442627,5.534955978393555
140,5.341007232666016,4.889669895172119,5.5415496826171875
143,5.311610698699951,4.850215911865234,5.520427703857422
144,5.322805404663086,4.865210056304932,5.520920753479004
146,5.284189701080322,4.827003002166748,5.494237422943115
147,5.250885963439941,4.855681896209717,5.501046180725098
149,5.221120834350586,4.795833110809326,5.470061302185059
150,5.2495856285095215,4.803079605102539,5.485109329223633
151,5.2222819328308105,4.831336021,5.479736328
153,5.186277389526367,4.767649173736572,5.469198226928711
154,5.207471848,4.757753372192383,5.454395771026611
155,5.160172462463379,4.755318641662598,5.435461044311523
157,5.165470123291016,4.760758876800537,5.449020862579346
158,5.141198158,4.720872402191162,5.412126064300537
160,5.138856410980225,4.690614223480225,5.405078887939453
163,5.104489326477051,4.604455947875977,5.3625664710998535
164,5.068371295928955,4.623351097106934,5.363698959350586
167,5.108508110046387,4.594990253448486,5.352816581726074
168,5.077234745025635,4.575435638427734,5.356986045837402
170,5.045593262,4.563025951385498,5.334357738494873
171,5.016579627990723,4.535994052886963,5.312301158905029
172,5.045461177825928,4.514412879943848,5.313551902770996
173,5.006694793701172,4.5324506759643555,5.294725418
174,5.013446331,4.527525424957275,5.2871809005737305
175,4.962764739990234,4.526372433,5.279006481170654
176,4.991287708282471,4.525051116943359,5.258144855499268
178,4.978826999664307,4.460391998291016,5.262234210968018
185,4.903016567230225,4.405630588531494,5.211483001708984
186,4.911808013916016,4.436711311340332,5.217101097106934
188,4.884185791015625,4.404779911,5.174890518188477
190,4.865535259246826,4.357733726501465,5.147310256958008
193,4.847052574157715,4.365977764129639,5.139022350311279
195,4.810289383,4.340655804,5.107726097106934
197,4.8062005043029785,4.311513900756836,5.086798191070557
198,4.8164591789245605,4.343543053,5.089956283569336
210,4.717567443847656,4.257935523986816,4.976994514465332
212,4.6883745193481445,4.240427017211914,4.965093136
214,4.670085906982422,4.224658966064453,4.968970299
222,4.576067924499512,4.175683975219727,4.8705830574035645
223,4.563965797424316,4.164686679840088,4.867159366607666
224,4.5592570304870605,4.150582790374756,4.854522705078125
225,4.5912861824035645,4.1656880378723145,4.863466262817383
226,4.547767639160156,4.154089928,4.842895508
227,4.561077595,4.182474613189697,4.857411861419678
228,4.542410850524902,4.1770853996276855,4.844676494598389
230,4.490671157836914,4.11400032,4.809072971343994
231,4.490242958068848,4.123867034912109,4.817354202270508
234,4.459528446,4.146100044250488,4.763493537902832
235,4.454768657684326,4.1053972244262695,4.786321640014648
236,4.460968017578125,4.102565765380859,4.756803035736084
241,4.419223785400391,4.112567901611328,4.765723228
244,4.382961273193359,4.101779937744141,4.730395317077637
245,4.379047870635986,4.104631423950195,4.697401047
247,4.363592624664307,4.042294979095459,4.682317733764648
248,4.367425441741943,4.0658040046691895,4.683694839477539
250,4.343773842,4.047512054443359,4.697008133
254,4.328655242919922,4.045834541320801,4.672930717468262
255,4.289535999298096,4.05090332,4.661551475524902
257,,,4.628357887268066
259,4.276930809020996,4.034339904785156,4.610051155090332
266,4.2388410568237305,3.9948692321777344,4.549204349517822
268,4.241208076477051,4.008698463439941,4.568782806396484
270,4.218686103820801,3.980569839477539,4.537562370300293
273,4.215353012084961,3.9600348472595215,4.558462142944336
274,4.214892387390137,3.946955442428589,4.516432762145996
277,4.199933052062988,3.993746519088745,4.502841949462891
278,4.183249473571777,3.972935199737549,4.509517669677734
280,,,4.507500171661377
281,4.165580749511719,3.945936918258667,4.473395347595215
284,4.155175209,3.935065507888794,4.451015949249268
287,4.153848648071289,3.9244790077209473,4.428982734680176
290,4.143232345581055,3.9302620887756348,4.414295196533203
292,4.122762203216553,3.924093246459961,4.411709785461426
295,4.124250411987305,3.9258947372436523,4.392991065979004
301,4.127535820007324,3.931924819946289,4.373326301574707
303,4.092731475830078,3.8974742889404297,4.345613956451416
304,4.079014301300049,3.9046638011932373,4.330804824829102
305,4.063180923461914,3.885645627975464,4.324978351593018
306,4.065320969,3.884150505065918,4.2943925857543945
309,4.064925193786621,3.8851606845855713,4.280141353607178
310,4.0660834312438965,3.8947746753692627,4.277381896972656
314,4.031595230102539,3.8532304763793945,4.252829551696777
315,4.0460920333862305,3.867142915725708,4.2616705894470215
317,4.024626731872559,3.841374158859253,4.224919796
318,4.034857273101807,3.8604655265808105,4.231682300567627
320,4.018367290496826,3.8547065258026123,4.2335662841796875
325,4.017166614532471,3.8879852294921875,4.219043731689453
326,4.009924889,3.8533592224121094,4.1779632568359375
331,4.013895511627197,3.8542847633361816,4.175848007202148
332,3.975574493408203,3.827740430831909,4.1599531173706055
336,3.978278636932373,3.8412082195281982,4.169139862060547
337,3.974029064178467,3.827531337738037,4.126641273498535
338,3.9719557762145996,3.807363510131836,4.129686356
344,3.9381675720214844,3.7975010871887207,4.107113361358643
347,3.940659761428833,3.783013343811035,4.084709167480469
349,3.941791534423828,3.8314576148986816,4.094394683837891
351,3.930462598800659,3.781672716140747,4.064679145812988
353,3.937389850616455,3.7948882579803467,4.081338882446289
356,3.9270293712615967,3.7906978130340576,4.073016166687012
361,3.9217801094055176,3.7656140327453613,4.046995162963867
362,3.8992626667022705,3.748730421066284,4.028083324432373
365,3.9084391593933105,3.754155397415161,4.030377388000488
367,3.912368059158325,3.779449462890625,4.044306755065918
368,3.897158384,3.759948253631592,4.026550769805908
370,3.9104678630828857,3.7684342861175537,4.020332336425781
372,3.8897640705108643,3.7558674812316895,4.013250350952148
377,3.8777308464050293,3.763787031173706,3.9897756576538086
378,3.8840036392211914,3.770714044570923,4.010639667510986
382,3.8600406646728516,3.749723196029663,3.969841480255127
389,3.8385698795318604,3.7427871227264404,3.9542126655578613
390,3.8534202575683594,3.7378079891204834,3.966620445251465
392,3.8634746074676514,3.728133201599121,3.957871437072754
393,3.862325907,,3.9533228874206543
395,3.8358042240142822,3.712254762649536,3.934811592102051
397,3.8356237411499023,3.720132827758789,3.924517869949341
401,3.7968356609344482,3.7184314727783203,3.928016185760498
405,3.8095622062683105,3.704238176345825,3.915360212
406,3.809495210647583,3.688088893890381,3.900313138961792
407,3.8238654136657715,3.7187795639038086,3.928142547607422
410,3.7878992557525635,3.697281837463379,3.8812859058380127
414,3.793888568878174,3.7112643718719482,3.877784252166748
425,3.754490852355957,3.674595594406128,3.8566203117370605
426,3.748995065689087,3.6551284790039062,3.8415145874023438
427,3.7589449882507324,3.657748222351074,3.861060619354248
428,3.761009693145752,3.671771526,3.842433452606201
430,3.7568092346191406,3.663806676864624,3.8472394943237305
435,3.736976146697998,3.6544251441955566,3.842587947845459
441,3.739961624145508,3.6647586822509766,3.841923713684082
442,3.720137596130371,3.616273880004883,3.8032779693603516
447,3.7362265586853027,3.652068853378296,3.816577434539795
451,3.726050853729248,3.6546077728271484,3.7928452491760254
454,3.7254223823547363,3.645279646,3.8076796531677246
455,3.713320016860962,3.618189811706543,3.8030381202697754
456,,,3.793193817138672
457,3.734731674194336,3.6484804153442383,3.8227739334106445
458,3.711209535598755,3.6405253410339355,3.797645092010498
460,3.7195017337799072,3.6145849227905273,3.7846879959106445
461,3.7296481132507324,3.6136724948883057,3.7899601459503174
462,3.687366485595703,3.6269450187683105,3.772735357284546
463,3.708045721054077,3.641206741333008,3.7905778884887695
465,3.690380811691284,3.6069295406341553,3.7813494205474854
468,3.6942648887634277,3.608090400695801,3.7686567306518555
470,3.6710903644561768,3.6009628772735596,3.744290828704834
472,3.6657378673553467,3.5690033435821533,3.7390496730804443
475,3.709172487258911,3.612705707550049,3.7520697116851807
477,3.6832032203674316,3.6118712425231934,3.7436161041259766
482,3.665771722793579,3.5888121128082275,3.733389377593994
483,3.677527666091919,3.621290922164917,3.738626003265381
488,3.654507637023926,3.574852228164673,3.730714797973633
489,3.6607019901275635,3.5800833702087402,3.7215769290924072
490,3.6543476581573486,3.5584568977355957,3.715942621231079
494,3.6713647842407227,3.5887813568115234,3.729820966720581
495,3.6464717388153076,3.579632282,3.6980178356170654
496,3.6620426177978516,3.5944223403930664,3.721060276031494
497,3.649909257888794,3.594064950942993,3.727688789367676
498,3.648735284805298,3.595526695251465,3.7306113243103027
499,3.6474359035491943,3.596312999725342,3.726793050765991
501,3.641366481781006,3.5668342113494873,3.703315258026123
502,3.6477599143981934,3.5682036876678467,3.6958181858062744
503,3.6368141174316406,3.5712857246398926,3.703172445297241
506,3.6354620456695557,3.567155361175537,3.6997060775756836
511,3.6212637424468994,3.535780429840088,3.6613879203796387
512,3.627971887588501,3.550562858581543,3.674215793609619
513,3.6314616203308105,3.549760103225708,3.6793174743652344
514,3.658613681793213,3.5912246704101562,3.7093992233276367
515,3.618295431137085,3.5337533950805664,3.6742563247680664
517,3.620758056640625,3.5414512157440186,3.675020217895508
519,3.6116552352905273,3.5434622764587402,3.673297643661499
526,3.614129066467285,3.5483508110046387,3.6742279529571533
527,3.6166000366210938,3.540642261505127,3.6704492568969727
532,3.602273941040039,3.5293264389038086,3.6503024101257324
534,3.578956127166748,3.509232283,3.6257667541503906
537,3.586441993713379,3.501559257507324,3.6272013187408447
542,3.573497772216797,3.5078067779541016,3.623575210571289
543,3.5801384449005127,3.5148050785064697,3.630971670150757
545,3.533207654953003,3.463118792,3.5850610733032227
549,3.5609047412872314,3.498584032058716,3.6197152137756348
550,3.5648748874664307,3.502208709716797,3.6192572116851807
551,3.5781915187835693,3.505507707595825,3.6266727447509766
552,3.5666327476501465,3.4961342811584473,3.6211752891540527
560,3.535318374633789,3.466825246810913,3.596975326538086
564,3.5409200191497803,3.475253105163574,3.592048168182373
565,3.526167392730713,3.466393471,3.5763533115386963
568,3.5060694217681885,3.444610357284546,3.556975841522217
570,3.532855511,3.4788293838500977,3.578348159790039
574,3.5421900749206543,3.475747585296631,3.575383424758911
575,3.546262264251709,3.4693775177001953,3.5785093307495117
576,3.516913414001465,3.4523305892944336,3.565013885498047
577,3.5255789756774902,3.465458393096924,3.5810704231262207
578,3.5302531719207764,3.4610493183135986,3.5757668018341064
581,3.532560348510742,3.4649295806884766,3.5686726570129395
582,3.4963631629943848,3.440023183822632,3.529975414276123
583,3.523298740386963,3.4732577800750732,3.5558013916015625
584,3.495051383972168,3.434011936187744,3.5475478172302246
585,3.5286812782287598,3.4645237922668457,3.569645881652832
586,3.5167250633239746,3.4608166217803955,3.560730457305908
587,3.4971604347229004,3.443143367767334,3.540091037750244
589,3.506596803665161,3.4450032711029053,3.545311450958252
591,3.4952855110168457,3.4401607513427734,3.5356078147888184
592,3.5159175395965576,3.4631993770599365,3.5684382915496826
593,3.4874820709228516,3.4299654960632324,3.533914089202881
595,3.5017013549804688,3.4443717002868652,3.5391769409179688
596,3.5196309089660645,3.464043140411377,3.557147979736328
597,3.499350070953369,3.437680244445801,3.541546345
598,3.4940085411071777,3.435497522354126,3.530118703842163
599,3.5052034854888916,3.4459939002990723,3.5416672229766846
602,,,3.5238888263702393
604,3.4912564754486084,3.4394686222076416,3.526374340057373
606,3.488642692565918,3.430220603942871,3.526876449584961
608,3.479142904281616,3.4226479530334473,3.510561466217041
609,3.4877705574035645,3.436194896697998,3.526008129119873
613,3.476694107055664,3.4225258827209473,3.521522045135498
614,3.4543683528900146,3.408398151397705,3.499678373336792
616,3.4676976203918457,3.3990049362182617,3.4941577911376953
617,3.489877939224243,3.4255075454711914,3.5301249027252197
619,3.4738545417785645,3.416332483291626,3.5177149772644043
622,3.4645776748657227,3.412515402,3.4955430030822754
623,3.462008476257324,3.408734083175659,3.5041260719299316
625,3.467024803161621,3.4144601821899414,3.5039384365081787
626,3.4624483585357666,3.412588596343994,3.5003623962402344
628,3.4530210494995117,3.400156259536743,3.4919097423553467
632,3.446376323699951,3.387984037399292,3.487232208251953
634,3.4591774940490723,3.3946213722229004,3.490029811859131
635,3.4507057666778564,3.396801233291626,3.4846997261047363
636,3.4578182697296143,3.4075870513916016,3.496647357940674
643,3.452380418777466,3.4075329303741455,3.4919118881225586
644,3.4216694831848145,3.3741238117218018,3.4597229957580566
645,3.422074794769287,3.3693270683288574,3.467200517654419
646,3.4253153800964355,3.3700575828552246,3.461949348449707
647,3.4352211952209473,3.380039930343628,3.4686601161956787
648,3.4460771083831787,3.3842244148254395,3.4701292514801025
649,3.4320757389068604,3.380584239959717,3.4691295623779297
650,3.430797576904297,3.377331018447876,3.467590808868408
651,3.429377317428589,3.377831220626831,3.468501091003418
652,3.4385411739349365,3.3929545879364014,3.4819693565368652
653,3.4271862506866455,3.3931288719177246,3.468644380569458
662,3.4148757457733154,3.363948345184326,3.441422700881958
663,3.4184153079986572,3.361793279647827,3.4480936527252197
667,3.4134392738342285,3.376422882080078,3.4492685794830322
668,3.419889450073242,3.3763351440429688,3.4480419158935547
671,3.414781093597412,3.3736329078674316,3.4430935382843018
675,3.4121837615966797,3.366037130355835,3.4416308403015137
676,3.3925271034240723,3.345839738845825,3.421419620513916
681,3.394310474395752,3.3500170707702637,3.4301719665527344
683,3.3890111446380615,3.344651222229004,3.4211690425872803
686,3.394214391708374,3.346090316772461,3.4217770099639893
691,3.396946430206299,3.359771251678467,3.4360861778259277
692,3.3907971382141113,3.352757215499878,3.4299159049987793
693,3.3844051361083984,3.3572816848754883,3.421586513519287
695,3.374999761581421,3.3379523754119873,3.4116668701171875
697,3.3978888988494873,3.344848394393921,3.425093889
700,3.3786213397979736,3.345731496810913,3.4177207946777344
702,3.3730833530426025,3.331543445587158,3.3967220783233643
703,3.385922908782959,3.346609592437744,3.4166107177734375
713,3.354580879211426,3.311574697494507,3.3835675716400146
715,3.3628604412078857,3.3162760734558105,3.3948915004730225
719,3.3826751708984375,3.3428101539611816,3.416144609451294
720,3.3489904403686523,3.310676336288452,3.379070520401001
722,3.3561973571777344,3.3107993602752686,3.3809304237365723
724,3.3570613861083984,3.3225717544555664,3.389460563659668
726,3.365424156188965,3.317196846008301,3.3938066959381104
727,3.3507862091064453,3.3072869777679443,3.380526542663574
729,3.3459770679473877,3.304037333,3.373678207397461
731,3.3638553619384766,3.320683479309082,3.3955042362213135
734,3.3625059127807617,3.3190970420837402,3.383273124694824
745,3.350187063217163,3.3100664615631104,3.376798152923584
746,3.348790168762207,3.3092713356018066,3.375657796859741
752,3.3330090045928955,3.2958014011383057,3.3625569343566895
754,3.329873561859131,,3.3631973266601562
755,3.3473803997039795,3.306786537,3.374419689178467
758,3.341597795,3.3134450912475586,3.3729963302612305
759,3.345899820327759,3.313878297805786,3.371865749359131
760,3.3228518962860107,3.2898764610290527,3.351416826248169
761,3.3210034370422363,3.2861382961273193,3.34883976
763,3.346813201904297,3.316425323486328,3.376110553741455
764,3.333061695098877,3.302436351776123,3.3608808517456055
769,3.3292458057403564,3.295008659362793,3.357445240020752
770,3.3241288661956787,3.289240837097168,3.3489017486572266
773,3.337545156478882,3.296433448791504,3.363624095916748
774,3.3213109970092773,3.281463623046875,3.345730781555176
776,3.3234424591064453,3.281583786010742,3.350560426712036
782,3.2988624572753906,3.260446548461914,3.322225570678711
783,3.3311734199523926,3.2905240058898926,3.357309103012085
784,3.3341996669769287,3.2965149879455566,3.364680767059326
785,3.280073881149292,3.2478010654449463,3.311495780944824
789,3.3181421756744385,3.2833499908447266,3.3465096950531006
790,3.3206887245178223,3.289374828338623,3.345334768295288
791,3.3016984462738037,3.2714884281158447,3.324909210205078
795,3.2927260398864746,3.2623255252838135,3.3233299255371094
802,3.3025870323181152,3.2719838619232178,3.333189010620117
805,3.312619448,3.2777066230773926,3.3364527225494385
807,3.3036093711853027,3.269793748855591,3.329198122024536
808,3.2922332286834717,3.2598464488983154,3.317373752593994
813,3.3119890689849854,3.284067153930664,3.334695339202881
818,,,3.322950839996338
827,3.278657913208008,3.2456271648406982,3.3007097244262695
828,3.289534330368042,3.258012533187866,3.3118765354156494
833,3.2797861099243164,3.2479841709136963,3.307927131652832
838,3.2755374908447266,3.251220226287842,3.3031692504882812
839,3.273726224899292,3.248868465423584,3.2976717948913574
840,3.279104709625244,3.255002021789551,3.3037116527557373
849,3.2659478187561035,3.238985538482666,3.287048816680908
854,3.2801809310913086,3.247102737426758,3.3000688552856445
855,3.270944356918335,3.2438974380493164,3.295332908630371
858,3.260503053665161,3.2279820442199707,3.2738161087036133
862,3.274167060852051,3.2439303398132324,3.299290180206299
864,3.2538721561431885,3.2233846187591553,3.2732183933258057
868,3.264458417892456,3.2348673343658447,3.2842659950256348
871,3.286306142807007,3.258709669113159,3.3071069717407227
873,3.2803449630737305,3.2555971145629883,3.305586338043213
874,3.2620790004730225,3.234732151031494,3.2834181785583496
876,3.2735671997070312,3.2487521171569824,3.29537034
878,3.276337146759033,3.2509515285491943,3.2992310523986816
879,3.2560300827026367,3.229207754135132,3.2747671604156494
882,3.250554323196411,3.227466583251953,3.273311138153076
883,3.2692456245422363,3.244955062866211,3.289217472076416
885,3.2648911476135254,3.239292860031128,3.2838430404663086
886,3.258331775665283,3.2277417182922363,3.2781312465667725
