Step,all split,split ffn only,split qkv only
1,11.923383712768555,11.923380851745605,11.923380851745605
2,,11.921957969665527,11.921957969665527
4,,11.913317680358887,11.913564682006836
5,11.890592575073242,11.889562606811523,11.890673637390137
6,11.829804420471191,11.826990127563477,11.829851150512695
8,,11.701229095458984,11.712446212768555
9,,11.634587287902832,11.652774810791016
10,11.558923721313477,11.531211853027344,11.559316635131836
11,,11.405519485473633,11.44465160369873
12,11.32494068145752,11.27269458770752,11.32589054107666
15,10.779162406921387,10.67579460144043,10.781770706176758
17,10.266892433166504,10.123725891113281,10.270819664001465
18,9.976373672485352,9.818415641784668,9.980794906616211
19,9.676816940307617,9.506558418273926,9.681741714477539
20,9.352516174316406,9.176597595214844,9.357562065124512
21,,8.882209777832031,9.063605308532715
22,8.762434959411621,8.596201897,8.767352104187012
23,,8.359187126159668,8.513280868530273
26,7.966773986816406,7.9056806564331055,7.969076156616211
27,7.8436784744262695,7.805539131164551,7.845373153686523
28,,7.780218601226807,7.806346416473389
29,,7.7841973304748535,7.805353164672852
30,,7.768646240234375,7.795404434204102
31,,7.731532573699951,7.7740559577941895
32,,7.710084438323975,7.774409294128418
33,,7.616317272186279,7.697528839111328
34,7.639121055603027,7.559165000915527,7.642754077911377
35,7.551487445831299,7.483370780944824,7.554882526397705
36,7.460357666015625,7.402729511260986,7.463392258
37,7.425157547,7.3691277503967285,7.428112030029297
40,7.2604265213012695,7.199634552001953,7.263669013977051
41,,7.102679252624512,7.164120674133301
43,7.0537919998168945,7.001360893249512,7.056994915008545
44,,6.967099666595459,7.021358013153076
45,6.929241180419922,6.877001762390137,6.932267189025879
46,,6.832481384277344,6.886422157287598
47,6.835967063903809,6.787080764770508,6.838698863983154
48,,6.714046001434326,6.7622785568237305
49,6.713614463806152,6.676048278808594,6.716196060180664
51,6.626554966,6.597143650054932,6.628773212432861
52,6.611798286437988,6.579318046569824,6.613870620727539
53,6.560968876,6.537186622619629,6.562919616699219
54,,6.4752984046936035,6.506139755249023
55,,6.459133148193359,6.481082916259766
56,,6.412407398223877,6.441753864
57,6.391736030578613,6.375634193,6.393607139587402
58,6.382318496704102,6.3571391105651855,6.384126186
59,6.356671333312988,6.342857837677002,6.358408451080322
60,6.331120491027832,6.305297374725342,6.332844257354736
63,6.228756904602051,6.220849514007568,6.230307579040527
64,6.221818923950195,6.196429252624512,6.223260402679443
66,,6.144655227661133,6.171116828918457
67,6.163153648376465,6.160168647766113,6.1645941734313965
68,,6.137526035308838,6.164186000823975
69,6.116084575653076,6.115877151489258,6.117326736450195
70,,6.091341495513916,6.116552352905273
71,6.1023664474487305,6.100107192993164,6.103603363037109
72,6.086960792541504,6.064761638641357,6.088291645050049
73,6.050700664520264,6.047823429107666,6.051932334899902
74,6.0606160163879395,6.043334007263184,6.061905384063721
75,6.040217876434326,6.037300109863281,6.041375160217285
76,,6.0373406410217285,6.055075645446777
77,6.024630546569824,6.022550582885742,6.025701046
78,5.991433620452881,5.977145195007324,5.992600440979004
80,5.966309547424316,5.955938816070557,5.967645645141602
82,,5.9488654136657715,5.962904930114746
83,5.948761940002441,5.947239875793457,5.950399398803711
84,5.928879737854004,5.9185991287231445,5.930304527282715
85,,5.909008979797363,5.909538745880127
86,,5.900844097137451,5.914663791656494
87,,5.910914421081543,5.9158124923706055
88,5.912222862243652,5.897447109222412,5.914336681365967
