Step,Muon without wd,Spectral Sphere,Muon
1,0.5390625,0.5390625,0.5390625
5,0.5234375,0.55859375,0.5234375
6,0.546875,0.53515625,0.546875
10,0.515625,0.5,0.515625
12,0.5078125,0.494140625,0.5078125
15,0.50390625,0.52734375,0.5078125
17,0.50390625,0.515625,0.498046875
18,0.5078125,0.5,0.50390625
19,0.5546875,0.5234375,0.55078125
20,0.54296875,0.49609375,0.5390625
22,0.515625,0.5234375,0.515625
26,0.482421875,0.5234375,0.482421875
27,0.5234375,0.5625,0.5234375
34,0.49609375,0.5078125,0.49609375
35,0.55078125,0.5546875,0.546875
36,0.5390625,0.53125,0.53515625
37,0.494140625,0.53125,0.494140625
40,0.53515625,0.5234375,0.53515625
43,0.5078125,0.5,0.51171875
45,0.53515625,0.51171875,0.53515625
47,0.54296875,0.5078125,0.5390625
49,0.5390625,0.4921875,0.53515625
51,0.48828125,0.494140625,0.484375
52,0.484375,0.515625,0.484375
53,0.515625,0.50390625,0.51171875
57,0.49609375,0.55859375,0.4921875
58,0.5078125,0.50390625,0.5078125
59,0.490234375,0.53125,0.4921875
60,0.52734375,0.515625,0.5234375
63,0.51953125,0.51171875,0.5234375
64,0.50390625,0.50390625,0.50390625
67,0.50390625,0.50390625,0.5
69,0.484375,0.5,0.482421875
71,0.51171875,0.51953125,0.5078125
72,0.5078125,0.51953125,0.50390625
73,0.486328125,0.51953125,0.484375
74,0.5234375,0.51171875,0.515625
75,0.5,0.50390625,0.498046875
77,0.51171875,0.5078125,0.5078125
78,0.5078125,0.51171875,0.5078125
80,0.478515625,0.5078125,0.47265625
83,0.490234375,0.54296875,0.490234375
84,0.5078125,0.5,0.50390625
88,0.5,0.51953125,0.498046875
89,0.50390625,0.54296875,0.498046875
92,0.5078125,0.5625,0.5078125
94,0.51171875,0.5,0.5078125
95,0.51171875,0.56640625,0.50390625
97,0.50390625,0.5390625,0.494140625
100,0.4765625,0.5,0.46875
101,0.52734375,0.5390625,0.51953125
103,0.494140625,0.54296875,0.490234375
106,0.5234375,0.5625,0.515625
108,0.55078125,0.57421875,0.54296875
109,0.4921875,0.4921875,0.484375
118,0.51171875,0.5078125,0.50390625
119,0.5078125,0.5,0.49609375
