Step,Muon without wd,Spectral Sphere,Muon
1,0.043833594769239426,0.043833594769239426,0.043833594769239426
5,0.042963843792676926,0.028436933,0.042970385402441025
6,0.044205803,0.029524667,0.04420362
10,0.04510498,0.029961178079247475,0.045111518
12,0.047379632,0.032696314,0.047381811
15,0.050628662,0.033367156982421875,0.050633021
17,0.055194311,0.036957879,0.055205207
18,0.057456426322460175,0.038188934326171875,0.057469505816698074
19,0.060743603855371475,0.040816716849803925,0.060765404254198074
20,0.062187738716602325,0.041721343994140625,0.062196459621191025
22,0.06733159,0.046591076999902725,0.067344666
26,0.077072144,0.057868958,0.077055797
27,0.077495031,0.059052605,0.077477589
34,0.083658494,0.067005701,0.083575659
35,0.082789831,0.065592088,0.082701549
36,0.082417078,0.064523973,0.082306996
37,0.081126623,0.06296321,0.080991469
40,0.077246532,0.058638435,0.077115737
43,0.073115759,0.058683123,0.072950087
45,0.070865087,0.058731079,0.070743017
47,0.068838939,0.057447162,0.068716869
49,0.069004603,0.058188301,0.068828039
51,0.067014419,0.05669076,0.066865101
52,0.067138672,0.057159424,0.066956654
53,0.066838942,0.05705915,0.066670008
57,0.066375732,0.057666235,0.066159926
58,0.06613595,0.057882037,0.065908156
59,0.066907607,0.05860465,0.066681996
60,0.06591361,0.057915825,0.065676011
63,0.066220962,0.058368139,0.065938674
64,0.066474915,0.058955602,0.06618391
67,0.066598073,0.059125628,0.066270009
69,0.06693159,0.059912544,0.066583909
71,0.066552296,0.059770856,0.066207886
72,0.067005701,0.060049873,0.066629685
73,0.066610061,0.059968133,0.066223145
74,0.066551208,0.060103279,0.066156663
75,0.067073278,0.060677666,0.066683091
77,0.066643849,0.060520716,0.066195898
78,0.066440038,0.05997685,0.066007338
80,0.06669835,0.059991021,0.06624712
83,0.06636592,0.060352869,0.065893993
84,0.066497803,0.060632978,0.065948486
88,0.066161022,0.060950141,0.065608434
89,0.066285267,0.060295105,0.065735951
92,0.066133775,0.060889106,0.065575734
94,0.066159926,0.060825892,0.065533228
95,0.066382274,0.061023168,0.065694533
97,0.066053115,0.060980659,0.065363206
100,0.066789903,0.061297826,0.066055298
101,0.066120692,0.061136518,0.065444946
103,0.067260742,0.062098913,0.066573009
106,0.066285267,0.062031336,0.065459117
108,0.066874914,0.06237248,0.066085815
109,0.067095079,0.0622297,0.066155568
118,0.068378992,0.062944688,0.067270555
119,0.067466736,0.063961573,0.066447668
122,0.06819807,0.063511439,0.066966467
124,0.068131581,0.063975744,0.066789903
126,0.068353929,0.064566478,0.06731306
128,0.068820409,0.065810069,0.067711964
136,0.068952285,0.066606797,0.067499436
137,0.068424769,0.065555029,0.067399159
139,0.068482533,0.066242762,0.068193711
140,0.069333754,0.067222595,0.066750661
143,0.068217687,0.067108154,0.0675245
144,0.069678172,0.066984996,0.067722864
146,0.069441661,0.066662379,0.067484178
147,0.068600245,0.067478724,0.067487441
