"Step","evalv2_spball_1.8B_mupinit_muplr5e-3_wd0.1_hard_headfc1split - hidden-states-absmax/attention::o_proj","evalv2_spball_1.8B_mupinit_muplr5e-3_wd0.1_hard_headfc1split - hidden-states-absmax/attention::o_proj__MIN","evalv2_spball_1.8B_mupinit_muplr5e-3_wd0.1_hard_headfc1split - hidden-states-absmax/attention::o_proj__MAX","evalv2_muonw_1.8B_muptinit_muplr5e-3_wd0.1_headfc1split - hidden-states-absmax/attention::o_proj","evalv2_muonw_1.8B_muptinit_muplr5e-3_wd0.1_headfc1split - hidden-states-absmax/attention::o_proj__MIN","evalv2_muonw_1.8B_muptinit_muplr5e-3_wd0.1_headfc1split - hidden-states-absmax/attention::o_proj__MAX","evalv2_adamw_1.8B_muptinit_muplr5e-3_wd0.1_headfc1split - hidden-states-absmax/attention::o_proj","evalv2_adamw_1.8B_muptinit_muplr5e-3_wd0.1_headfc1split - hidden-states-absmax/attention::o_proj__MIN","evalv2_adamw_1.8B_muptinit_muplr5e-3_wd0.1_headfc1split - hidden-states-absmax/attention::o_proj__MAX"
"1","0.5390625","0.5390625","0.5390625","0.5390625","0.5390625","0.5390625","0.5390625","0.5390625","0.5390625"
"4","","","","","","","0.5234375","0.5234375","0.5234375"
"5","0.55859375","0.55859375","0.55859375","0.5234375","0.5234375","0.5234375","0.51953125","0.51953125","0.51953125"
"6","0.53515625","0.53515625","0.53515625","0.546875","0.546875","0.546875","0.53515625","0.53515625","0.53515625"
"10","0.5","0.5","0.5","0.515625","0.515625","0.515625","0.77734375","0.77734375","0.77734375"
"12","0.494140625","0.494140625","0.494140625","0.5078125","0.5078125","0.5078125","0.9609375","0.9609375","0.9609375"
"15","0.52734375","0.52734375","0.52734375","0.5078125","0.5078125","0.5078125","1.34375","1.34375","1.34375"
"17","0.515625","0.515625","0.515625","0.498046875","0.498046875","0.498046875","1.6171875","1.6171875","1.6171875"
"18","0.5","0.5","0.5","0.50390625","0.50390625","0.50390625","1.75","1.75","1.75"
"19","0.5234375","0.5234375","0.5234375","0.55078125","0.55078125","0.55078125","1.8671875","1.8671875","1.8671875"
"20","0.49609375","0.49609375","0.49609375","0.5390625","0.5390625","0.5390625","1.96875","1.96875","1.96875"
"22","0.5234375","0.5234375","0.5234375","0.515625","0.515625","0.515625","2.21875","2.21875","2.21875"
"26","0.5234375","0.5234375","0.5234375","0.482421875","0.482421875","0.482421875","2.8125","2.8125","2.8125"
"27","0.5625","0.5625","0.5625","0.5234375","0.5234375","0.5234375","3","3","3"
"34","0.5078125","0.5078125","0.5078125","0.49609375","0.49609375","0.49609375","3.890625","3.890625","3.890625"
"35","0.5546875","0.5546875","0.5546875","0.546875","0.546875","0.546875","4.0625","4.0625","4.0625"
"36","0.53125","0.53125","0.53125","0.53515625","0.53515625","0.53515625","4.0625","4.0625","4.0625"
"37","0.53125","0.53125","0.53125","0.494140625","0.494140625","0.494140625","4.1875","4.1875","4.1875"
"40","0.5234375","0.5234375","0.5234375","0.53515625","0.53515625","0.53515625","4.5625","4.5625","4.5625"
"43","0.5","0.5","0.5","0.51171875","0.51171875","0.51171875","4.9375","4.9375","4.9375"
"45","0.51171875","0.51171875","0.51171875","0.53515625","0.53515625","0.53515625","5.28125","5.28125","5.28125"
"46","","","","","","","5.375","5.375","5.375"
"47","0.5078125","0.5078125","0.5078125","0.5390625","0.5390625","0.5390625","5.53125","5.53125","5.53125"
"49","0.4921875","0.4921875","0.4921875","0.53515625","0.53515625","0.53515625","6.21875","6.21875","6.21875"
"51","0.494140625","0.494140625","0.494140625","0.484375","0.484375","0.484375","8.25","8.25","8.25"
"52","0.515625","0.515625","0.515625","0.484375","0.484375","0.484375","8.625","8.625","8.625"
"53","0.50390625","0.50390625","0.50390625","0.51171875","0.51171875","0.51171875","8.5625","8.5625","8.5625"
"57","0.55859375","0.55859375","0.55859375","0.4921875","0.4921875","0.4921875","9.5625","9.5625","9.5625"
"58","0.50390625","0.50390625","0.50390625","0.5078125","0.5078125","0.5078125","10.4375","10.4375","10.4375"
"59","0.53125","0.53125","0.53125","0.4921875","0.4921875","0.4921875","10","10","10"
"60","0.515625","0.515625","0.515625","0.5234375","0.5234375","0.5234375","10.125","10.125","10.125"
"63","0.51171875","0.51171875","0.51171875","0.5234375","0.5234375","0.5234375","10.8125","10.8125","10.8125"
"64","0.50390625","0.50390625","0.50390625","0.50390625","0.50390625","0.50390625","10.6875","10.6875","10.6875"
"67","0.50390625","0.50390625","0.50390625","0.5","0.5","0.5","10.625","10.625","10.625"
"69","0.5","0.5","0.5","0.482421875","0.482421875","0.482421875","11.1875","11.1875","11.1875"
"71","0.51953125","0.51953125","0.51953125","0.5078125","0.5078125","0.5078125","11.375","11.375","11.375"
"72","0.51953125","0.51953125","0.51953125","0.50390625","0.50390625","0.50390625","11.9375","11.9375","11.9375"
"73","0.51953125","0.51953125","0.51953125","0.484375","0.484375","0.484375","11","11","11"
"74","0.51171875","0.51171875","0.51171875","0.515625","0.515625","0.515625","10.875","10.875","10.875"
"75","0.50390625","0.50390625","0.50390625","0.498046875","0.498046875","0.498046875","11.9375","11.9375","11.9375"
"77","0.5078125","0.5078125","0.5078125","0.5078125","0.5078125","0.5078125","12.1875","12.1875","12.1875"
"78","0.51171875","0.51171875","0.51171875","0.5078125","0.5078125","0.5078125","13.6875","13.6875","13.6875"
"80","0.5078125","0.5078125","0.5078125","0.47265625","0.47265625","0.47265625","13.1875","13.1875","13.1875"
"83","0.54296875","0.54296875","0.54296875","0.490234375","0.490234375","0.490234375","15.4375","15.4375","15.4375"
"84","0.5","0.5","0.5","0.50390625","0.50390625","0.50390625","14.9375","14.9375","14.9375"
"88","0.51953125","0.51953125","0.51953125","0.498046875","0.498046875","0.498046875","16.375","16.375","16.375"
"89","0.54296875","0.54296875","0.54296875","0.498046875","0.498046875","0.498046875","16.625","16.625","16.625"
"92","0.5625","0.5625","0.5625","0.5078125","0.5078125","0.5078125","18.5","18.5","18.5"
"94","0.5","0.5","0.5","0.5078125","0.5078125","0.5078125","18.875","18.875","18.875"
"95","0.56640625","0.56640625","0.56640625","0.50390625","0.50390625","0.50390625","17.875","17.875","17.875"
"97","0.5390625","0.5390625","0.5390625","0.494140625","0.494140625","0.494140625","19.625","19.625","19.625"
"100","0.5","0.5","0.5","0.46875","0.46875","0.46875","21.75","21.75","21.75"
"101","0.5390625","0.5390625","0.5390625","0.51953125","0.51953125","0.51953125","22.25","22.25","22.25"
"103","0.54296875","0.54296875","0.54296875","0.490234375","0.490234375","0.490234375","23","23","23"
"106","0.5625","0.5625","0.5625","0.515625","0.515625","0.515625","26.875","26.875","26.875"
"108","0.57421875","0.57421875","0.57421875","0.54296875","0.54296875","0.54296875","26.875","26.875","26.875"
"109","0.4921875","0.4921875","0.4921875","0.484375","0.484375","0.484375","27.25","27.25","27.25"
"118","0.5078125","0.5078125","0.5078125","0.50390625","0.50390625","0.50390625","31.875","31.875","31.875"
"119","0.5","0.5","0.5","0.49609375","0.49609375","0.49609375","33","33","33"
"122","0.5234375","0.5234375","0.5234375","0.51953125","0.51953125","0.51953125","38.25","38.25","38.25"
"124","0.52734375","0.52734375","0.52734375","0.490234375","0.490234375","0.490234375","37.75","37.75","37.75"
"126","0.51953125","0.51953125","0.51953125","0.5234375","0.5234375","0.5234375","41.25","41.25","41.25"
"128","0.55859375","0.55859375","0.55859375","0.515625","0.515625","0.515625","41.5","41.5","41.5"
"136","0.58203125","0.58203125","0.58203125","0.50390625","0.50390625","0.50390625","46.25","46.25","46.25"
"137","0.5859375","0.5859375","0.5859375","0.50390625","0.50390625","0.50390625","48.5","48.5","48.5"
"139","0.58984375","0.58984375","0.58984375","0.50390625","0.50390625","0.50390625","52.25","52.25","52.25"
"140","0.5859375","0.5859375","0.5859375","0.50390625","0.50390625","0.50390625","51.75","51.75","51.75"
"143","0.52734375","0.52734375","0.52734375","0.48046875","0.48046875","0.48046875","51.25","51.25","51.25"
