Step,spectral sphere,muon,muon sphere,adamw
500,3.594186783,3.598047972,3.447216749,3.936856031
1000,3.133659124,3.121554852,3.066004276,3.282259464
1500,2.996468067,2.980511427,2.943143368,3.106319904
2000,2.916897535,2.903270721,2.872195721,3.033384562
2500,2.880976439,2.863049746,2.839211941,2.9661057
3000,2.845267534,2.828616142,2.806445599,2.916880131
3500,2.814032078,2.799824238,2.779466629,2.89237833
4000,2.797211409,2.781299591,2.764847994,2.863884449
4500,2.773858786,2.759367228,2.74417305,2.858483076
5000,2.7587533,2.745440245,2.732336283,2.824561596
5500,2.750819683,2.739409447,2.725474119,2.816328764
6000,2.739366531,2.728482485,2.717279911,2.801318884
6500,2.720835924,2.711242676,2.700580597,2.783635616
7000,2.709718943,2.702711105,2.691586018,2.770598888
7500,2.699853897,2.695038319,2.684023619,2.762978315
8000,2.693608761,2.689327002,2.679623127,2.75673914
8500,2.683633566,2.681700945,2.672646284,2.748972416
9000,2.670583248,2.671370983,2.661678076,2.736535311
9500,2.663894176,2.666153431,2.657839775,2.731550455
10000,2.65212059,2.657769918,2.648055792,2.721328259
10500,2.641745329,2.649218798,2.64058423,2.714925766
11000,2.630215883,2.637896776,2.630703449,2.702862263
11500,2.61650753,2.628549099,2.62065196,2.692514658
12000,2.607975006,2.621407747,2.613846302,2.686571121
12500,2.5970366,2.612266541,2.605073929,2.675452471
13000,2.590710163,2.60766077,2.601251841,2.671641111
13500,2.579042912,2.598284245,2.591459274,2.661837101
14000,2.565920353,2.586592197,2.580091953,2.650209427
14500,2.556319714,2.578437567,2.572486162,2.64183259
15000,2.543786764,2.567439318,2.560878277,2.630456209
15500,2.536039829,2.56098175,2.554468393,2.62463522
16000,2.526646614,2.552026272,2.545942783,2.615593672
16500,2.515236616,2.541502714,2.535531282,2.605118752
17000,2.508116484,2.534137726,2.528513908,2.597857952
17500,2.499070644,2.525551319,2.519986391,2.5890975
18000,2.482981443,2.509650707,2.504153967,2.572955132
18500,2.476600885,2.502768278,2.497444868,2.566801548
19000,2.469111204,2.494874954,2.489489555,2.558200359
19500,2.460808039,2.486096859,2.481093884,2.549767494
20000,2.456669331,2.480986595,2.475675106,2.544435024
20500,2.449189425,2.472249508,2.467173576,2.535588741
21000,2.440484047,2.463234186,2.458101511,2.526673555
21500,2.429622173,2.451538086,2.446501255,2.5146451
22000,2.429837704,2.450668812,2.445756912,2.513902664
22500,2.429855108,2.450257301,2.445332289,2.513445854
23000,2.419741154,2.439918518,2.434811831,2.503233194
23500,2.421629667,2.441536427,2.436415434,2.504900455
