hidden_size,num_heads,lr,loss
256,2,1.5e-2,3.5138
256,2,1e-2,3.504249
256,2,1e-3,3.55592
256,2,2e-2,3.529824
256,2,3e-2,3.559286
256,2,3e-3,3.482682
256,2,5e-3,3.493865
256,2,7e-3,3.505695
256,2,9e-3,3.502751
512,4,1.5e-2,3.264478
512,4,1e-2,3.177186
512,4,1e-3,3.198712
512,4,2e-2,3.265031
512,4,3e-2,3.236933
512,4,3e-3,3.167908
512,4,5e-3,3.175175
512,4,7e-3,3.176746
512,4,9e-3,3.17026
1024,8,1.5e-2,3.008409
1024,8,1e-2,2.93567
1024,8,1e-3,2.932456
1024,8,2e-2,2.942348
1024,8,3e-2,2.969944
1024,8,3e-3,2.896801
1024,8,5e-3,2.909385
1024,8,7e-3,2.923826
1024,8,9e-3,2.924123
2048,16,1.5e-2,2.780666
2048,16,1e-2,2.735951
2048,16,1e-3,2.758224
2048,16,2e-2,2.817397
2048,16,3e-2,2.878847
2048,16,3e-3,2.720793
2048,16,5e-3,2.704302
2048,16,7e-3,2.717263
2048,16,9e-3,2.727018
