hidden_size,num_heads,lr,loss
256,2,1.5e-2,3.470648
256,2,1e-2,3.46557
256,2,1e-3,3.611955
256,2,2e-2,3.476195
256,2,3e-2,3.494899
256,2,3e-3,3.498132
256,2,5e-3,3.474726
256,2,7e-3,3.466964
256,2,9e-3,3.464854
512,4,1.5e-2,3.124042
512,4,1e-2,3.126382
512,4,1e-3,3.312904
512,4,2e-2,3.134051
512,4,3e-2,3.152289
512,4,3e-3,3.168756
512,4,5e-3,3.139244
512,4,7e-3,3.128764
512,4,9e-3,3.125217
1024,8,1.5e-2,2.854963
1024,8,1e-2,2.850586
1024,8,1e-3,3.079759
1024,8,2e-2,2.863034
1024,8,3e-2,2.88702
1024,8,3e-3,2.908518
1024,8,5e-3,2.871154
1024,8,7e-3,2.857
1024,8,9e-3,2.851839
2048,16,1.5e-2,2.666186
2048,16,1e-2,2.660773
2048,16,1e-3,2.910325
2048,16,2e-2,2.676191
2048,16,3e-2,2.703504
2048,16,3e-3,2.720929
2048,16,5e-3,2.680026
2048,16,7e-3,2.665714
2048,16,9e-3,2.661491
