hidden_size,num_heads,lr,loss
256,2,1.5e-2,3.459484
256,2,1e-2,3.457818
256,2,1e-3,3.642443
256,2,2e-2,3.468412
256,2,3e-2,3.502131
256,2,3e-3,3.506107
256,2,5e-3,3.477328
256,2,7e-3,3.464115
256,2,9e-3,3.460212
512,4,1.5e-2,3.115489
512,4,1e-2,3.111874
512,4,1e-3,3.34512
512,4,2e-2,3.128575
512,4,3e-2,3.173481
512,4,3e-3,3.181281
512,4,5e-3,3.137655
512,4,7e-3,3.119751
512,4,9e-3,3.112591
1024,8,1.5e-2,2.844291
1024,8,1e-2,2.83834
1024,8,1e-3,3.113169
1024,8,2e-2,2.862818
1024,8,3e-2,2.913864
1024,8,3e-3,2.921458
1024,8,5e-3,2.869299
1024,8,7e-3,2.848021
1024,8,9e-3,2.839957
2048,16,1.5e-2,2.659387
2048,16,1e-2,2.64806
2048,16,1e-3,2.946207
2048,16,2e-2,2.686927
2048,16,3e-2,2.753528
2048,16,3e-3,2.735123
2048,16,5e-3,2.677708
2048,16,7e-3,2.655461
2048,16,9e-3,2.648617
