Step,radius1,radius0.1,radius2,radius10,radius0.5
1,0.53515625,0.53515625,0.53515625,0.53515625,0.53515625
2,0.7265625,0.000606537,6.5,908,0.087402344
4,0.75,0.00062561,6.8125,880,0.084472656
5,0.71875,0.000606537,6.40625,904,0.086425781
6,0.734375,0.000602722,6.5625,940,0.080566406
8,0.7109375,0.000602722,6.6875,884,0.081542969
9,0.72265625,0.000602722,6.5,1000,0.083496094
10,0.70703125,0.000602722,7.3125,924,0.087402344
11,0.7734375,0.000606537,6.71875,916,0.083984375
12,0.734375,0.000610352,6.46875,924,0.080078125
13,0.73828125,0.000610352,6.53125,924,0.082519531
15,0.7421875,0.000617981,6.40625,896,0.081054688
16,0.73046875,0.000610352,6.90625,976,0.082519531
17,0.72265625,0.000610352,6.65625,988,0.077636719
18,0.72265625,0.000610352,6.75,952,0.0859375
19,0.7421875,0.00062561,7.09375,1024,0.0859375
20,0.71484375,0.000606537,6.875,988,0.077636719
21,0.71484375,0.000606537,6.8125,952,0.083007813
22,0.70703125,0.000606537,6.625,952,0.082519531
23,0.71875,0.000602722,6.75,932,0.080078125
24,0.703125,0.000602722,6.78125,992,0.083007813
26,0.73828125,0.000598907,6.84375,948,0.077636719
27,0.73828125,0.000598907,6.84375,940,0.079101563
28,0.73828125,0.000595093,6.65625,908,0.084472656
29,0.76171875,0.000598907,6.71875,968,0.080078125
30,0.7265625,0.000595093,6.96875,904,0.078125
31,0.71875,0.000595093,7.25,936,0.081542969
32,0.75390625,0.000637054,6.65625,984,0.079589844
33,0.74609375,0.000606537,6.8125,924,0.083007813
34,0.75,0.000610352,6.625,964,0.080078125
35,0.73828125,0.000614166,6.96875,972,0.080566406
36,0.734375,0.000617981,6.65625,944,0.081542969
37,0.7421875,0.000617981,6.5625,944,0.081054688
38,0.7734375,0.000602722,7.1875,944,0.080566406
39,0.77734375,0.000606537,6.78125,936,0.081054688
40,0.76953125,0.000621796,6.6875,968,0.083007813
41,0.79296875,0.000617981,6.71875,956,0.083007813
42,0.7734375,0.000621796,7.03125,976,0.085449219
43,0.7890625,0.000621796,6.78125,984,0.083984375
44,0.7890625,0.000617981,7.0625,992,0.082519531
45,0.80078125,0.000617981,6.65625,980,0.081542969
46,0.8125,0.000621796,7.3125,1024,0.085449219
47,0.80859375,0.000621796,7,956,0.083984375
48,0.828125,0.00062561,7.0625,960,0.082519531
49,0.8359375,0.00063324,7.71875,1072,0.08203125
51,0.88671875,0.000637054,6.9375,996,0.0859375
52,0.8671875,0.00063324,7.625,1032,0.083007813
53,0.8671875,0.00062561,7.03125,1024,0.084472656
54,0.875,0.000629425,7,1004,0.0859375
55,0.87109375,0.000629425,7.40625,1008,0.084960938
56,0.921875,0.00063324,7.65625,1048,0.084960938
57,0.8828125,0.00063324,7.0625,1004,0.092285156
58,0.890625,0.000614166,7,1000,0.088867188
59,0.90234375,0.000602722,7.5625,1096,0.096679688
60,0.91015625,0.000629425,7.15625,1016,0.088378906
61,0.93359375,0.000629425,7.0625,1064,0.088378906
63,0.9140625,0.00063324,7.40625,1024,0.08984375
64,0.96484375,0.000606537,7.21875,1048,0.092773438
65,0.9609375,0.000637054,7.59375,1072,0.090820313
66,0.9453125,0.00063324,7.5,1024,0.090820313
